brand,brand_username,post_url,post_date,likes_count,comments_count,caption,hashtags
Bang,bangenergy,https://www.instagram.com/ampexclusive/p/DXz9dtXFl4a/,2026-05-01,32000.0,177.0,AMP THE GOLDEN BACHELOR 💍 OUT NOW,
Bang,bangenergy,https://www.instagram.com/bangenergy/p/DXziZexjvVA/,2026-05-01,611.0,91.0,"“I said what I said”
- Gen Z employee",
Bang,bangenergy,https://www.instagram.com/bangenergy/reel/DX2OR2ODdJJ/,2026-05-02,148.0,12.0,Just what the doctor ordered 😮‍💨,
Bang,bangenergy,https://www.instagram.com/bangenergy/reel/DX7X1IkgTUa/,2026-05-04,133.0,19.0,✨Life is worth livingggggggg✨,
Bang,bangenergy,https://www.instagram.com/bangenergy/p/DYAvJgSCQ7N/,2026-05-06,260.0,210.0,"Which bev are you going to save👀? The choice is yours.

oh, and ✨Happy National Bevvy Day✨",
Bang,bangenergy,https://www.instagram.com/bangenergy/reel/DYIPzW4mlwr/,2026-05-09,124.0,12.0,"like we never left, bc we didn't",
Bang,bangenergy,https://www.instagram.com/bangenergy/p/DYQXBfBDD2k/,2026-05-12,909.0,67.0,🧊🧊🧊,
Celsius,celsiusofficial,https://www.instagram.com/celsiusofficial/p/DV1gQAxifV0/,2026-03-13,1714.0,38.0,"Close the laptop & grab a can (you made it to the weekend) 👏
LIVE. FIT. GO. CELSIUS.",
Celsius,celsiusofficial,https://www.instagram.com/slam/p/DV_c4VHkbug/,2026-03-17,33000.0,219.0,"March isn’t ready, but Azzi is. The People’s Princess fueled by @celsiusofficial. 
LIVE. FIT. GO.",
Celsius,celsiusofficial,https://www.instagram.com/slam/reel/DWB0DNykbnD/,2026-03-18,4268.0,80.0,"Behind the Vibe with the one & only @azzi35 🏀
LIVE. FIT. GO",
Celsius,celsiusofficial,https://www.instagram.com/celsiusofficial/reel/DWRkUhvxOnG/,2026-03-24,1918.0,47.0,"When you both want to be the passenger princess 👏 @sidequestdj

DISCLAIMER: Do not try this at home!",
Celsius,celsiusofficial,https://www.instagram.com/celsiusofficial/p/DWmMR02Ebs2/,2026-04-01,12000.0,865.0,"good things come in small packages....👀

okay but should we actually drop minis?? #aprilfools",#aprilfools
Celsius,celsiusofficial,https://www.instagram.com/celsiusofficial/reel/DWzL9h-prjW/,2026-04-06,2108.0,94.0,What’s your vibe today? 🍓🥥🥭,
Celsius,celsiusofficial,https://www.instagram.com/celsiusofficial/reel/DW9QVRvO53Q/,2026-04-10,929.0,47.0,"Consider this your boarding call ✈️ From takeoff to the main stage we’ll meet you at Breakaway in 2026! 🎶

@breakaway",#teamcelsius
Celsius,celsiusofficial,https://www.instagram.com/celsiusofficial/p/DXKWJE5kdOa/,2026-04-15,1993.0,55.0,"kicked off festival season at full volume 🎶🎧 

@breakaway",
Celsius,celsiusofficial,https://www.instagram.com/celsiusofficial/reel/DXW_1xcxlqf/,2026-04-20,14000.0,420.0,"we’re just warming up ⚡ something electric is coming this week...​
LIVE. FIT. GO.",
Celsius,celsiusofficial,https://www.instagram.com/celsiusofficial/reel/DXZksuNiIJG/,2026-04-21,2996.0,101.0,"we’re about to touch down in LA ⚽️ & you won’t want to miss this!!​ stay tuned as we take over the pitch👏⚡​
LIVE. FIT. GO.",
Celsius,celsiusofficial,https://www.instagram.com/celsiusofficial/reel/DXb1CgKCA_j/,2026-04-22,13000.0,487.0,"electric vibe hits the field tonight & is available for a limited time only!⚡
LIVE. FIT. GO.​",
Celsius,celsiusofficial,https://www.instagram.com/celsiusofficial/reel/DXhMY7wixGa/,2026-04-24,1914.0,187.0,"the third annual celsius classic (soccer edition) ⚽️ the crossover of the year with our most electric drop yet⚡️
LIVE. FIT. GOAL.",
Celsius,celsiusofficial,https://www.instagram.com/celsiusofficial/reel/DX2Vyo7J6RZ/,2026-05-02,2139.0,58.0,miami race weekend 🤝 celsius run club 🤝 national fitness day,
Celsius,celsiusofficial,https://www.instagram.com/celsiusofficial/p/DYDMGGKiQsF/,2026-05-07,3059.0,107.0,"consider this your sign to run & try electric vibe now⚡
LIVE. FIT. GO.",
Celsius,celsiusofficial,https://www.instagram.com/celsiusofficial/p/DYP_TdHCTDl/,2026-05-12,7843.0,213.0,if tuesday had a flavor we vote it’s cherry cola 🥤,
Monster,monsterenergy,https://www.instagram.com/monsterenergy/p/DXo6PeMFI9M/,2026-04-27,24000.0,144.0,"Postcards from @helgasons_cream_fest 🍦 

#MonsterEnergy #Snow #Snowboarding","#MonsterEnergy, #Snow, #Snowboarding"
Monster,monsterenergy,https://www.instagram.com/monsterenergy/reel/DXrpx8lDv_U/,2026-04-28,41000.0,151.0,"14 days of straight sends 🫡 @Nyjah

Watch Nyjah’s “Return to Sender” Tour edit, now playing on @ThrasherMag.

📹 @spencerburdock 

#MonsterEnergy #Skate","#MonsterEnergy, #Skate"
Monster,monsterenergy,https://www.instagram.com/monsterenergy/reel/DXr8xOMEqCM/,2026-04-28,7957.0,112.0,"monster rig’s always a vibe
 
#Stagecoach2026 #MonsterEnergy","#MonsterEnergy, #Stagecoach2026"
Monster,monsterenergy,https://www.instagram.com/monsterenergy/reel/DXzHF5rhWs9/,2026-04-30,9447.0,102.0,"Exclusive merch drop 🔥
 
Buy Monster, win exclusive Still the Problem merch! Learn more at the link in bio.
 
#MonsterEnergy #UnleashtheBeast","#MonsterEnergy, #UnleashtheBeast"
Monster,monsterenergy,https://www.instagram.com/monsterenergy/p/DXz1XeFiWx8/,2026-05-01,18000.0,93.0,"Miami livin’ 💨

#MonsterEnergy #Drift","#Drift, #MonsterEnergy"
Monster,monsterenergy,https://www.instagram.com/monsterenergy/reel/DX9klDIShyz/,2026-05-04,28000.0,78.0,"Went for it a second time 😵‍💫 @HarryBink 

#MonsterEnergy #FMX #Moto","#FMX, #MonsterEnergy, #Moto, #arrisca, #extraordinário"
Monster,monsterenergy,https://www.instagram.com/monsterenergy/reel/DX9oAW7hptX/,2026-05-05,9470.0,62.0,"Creamfest delivered 📬

Full video now live @halldor_helgason’s YouTube channel.

#MonsterEnergy #Snowboard","#MonsterEnergy, #Snowboard"
Monster,monsterenergy,https://www.instagram.com/monsterenergy/p/DX9aWqDlJpD/,2026-05-05,12000.0,60.0,"THINGS WE LOVE TO SEE 😮‍💨 @McLarenF1

A big weekend in Miami with a 1-2 in the sprint and 2-3 in Sunday’s race 👏

#MonsterEnergy #McLarenF1","#McLarenF1, #MonsterEnergy"
Monster,monsterenergy,https://www.instagram.com/monsterenergy/reel/DYAPNPoSQ4z/,2026-05-06,13000.0,53.0,"AIRTIME FOR DAYS 📏

#MonsterEnergy #MTB","#MTB, #MonsterEnergy"
Monster,monsterenergy,https://www.instagram.com/monsterenergy/p/DYC_cFGlE_P/,2026-05-07,8340.0,54.0,"Down days in AK 🤳

🏠 @TordrilloHeli

#MonsterEnergy #Snowboarding","#MonsterEnergy, #Snowboarding"
Monster,monsterenergy,https://www.instagram.com/monsterenergy/reel/DYFrDj6v8TG/,2026-05-08,107000.0,1401.0,"Ready to take his belt back 😤 @StricklandMMA

Watch Khamzat Chimaev vs. Sean Strickland for the Middleweight belt on Saturday at 6pm PT on @ParamountPlus.

#MonsterEnergy #UFC328","#MonsterEnergy, #UFC328"
Monster,monsterenergy,https://www.instagram.com/monsterenergy/p/DYJIcOyFH7I/,2026-05-09,26000.0,55.0,"THAT’S A WRAP 🏆 @SupercrossLIVE

@ChaseSexton takes the 450SX Main Event win with @Cole17Davies securing the 250SX East/West Showdown in Salt Lake City.

#MonsterEnergy #SupercrossLIVE #Supercross","#MonsterEnergy, #Supercross, #SupercrossLIVE"
Monster,monsterenergy,https://www.instagram.com/monsterenergy/reel/DYMzqVPSCgl/,2026-05-11,8021.0,19.0,"This start in Le Mans is worth the replay 😵‍💫 @MotoGP 

#MonsterEnergy #MotoGP #Motorsport","#MonsterEnergy, #MotoGP, #Motorsport"
