brand,theme,model,n,pct_pos,pct_neg,pct_neu,mean_score
Xwerks,packaging,lexicon,1,100.0,0.0,0.0,0.5812
Xwerks,sweetness,lexicon,1,0.0,100.0,0.0,-0.1005
Zipfizz,taste,lexicon,6,83.3,16.7,0.0,0.2857
Zipfizz,energy,lexicon,6,83.3,0.0,16.7,0.4156
Zipfizz,health,lexicon,5,60.0,0.0,40.0,0.3429
Zipfizz,packaging,lexicon,5,20.0,20.0,60.0,0.0013
Zipfizz,sweetness,lexicon,4,75.0,25.0,0.0,0.3914
Zipfizz,crash,lexicon,2,100.0,0.0,0.0,0.3855
Zipfizz,price,lexicon,2,100.0,0.0,0.0,0.1923
Zoa,energy,lexicon,39,30.8,7.7,61.5,0.045
Zoa,taste,lexicon,13,61.5,0.0,38.5,0.1008
Zoa,packaging,lexicon,12,33.3,8.3,58.3,0.0667
Zoa,health,lexicon,12,50.0,8.3,41.7,0.0914
Zoa,sweetness,lexicon,7,28.6,28.6,42.9,0.0102
Zoa,price,lexicon,4,75.0,0.0,25.0,0.1602
Zoa,crash,lexicon,3,0.0,33.3,66.7,-0.1005
