family,month,mentions_12m,videos_12m,soc_share
Apple & pear,2021-05,18,228,0.08
Peach & stone fruit,2021-05,7,228,0.031111
Tea & botanical,2021-05,34,228,0.151111
Punch & mixed fruit,2021-05,4,228,0.017778
Watermelon,2021-06,10,227,0.045455
Coffee & cream,2021-06,42,227,0.190909
Sour & candy,2021-06,20,227,0.090909
Cola & soda,2021-06,11,227,0.05
Berry,2021-06,25,227,0.113636
Tropical,2021-06,28,227,0.127273
Citrus,2021-06,21,227,0.095455
Grape,2021-06,3,227,0.013636
Apple & pear,2021-06,21,227,0.095455
Peach & stone fruit,2021-06,6,227,0.027273
Tea & botanical,2021-06,29,227,0.131818
Punch & mixed fruit,2021-06,4,227,0.018182
Watermelon,2021-07,13,227,0.056034
Coffee & cream,2021-07,38,227,0.163793
Sour & candy,2021-07,21,227,0.090517
Cola & soda,2021-07,13,227,0.056034
Berry,2021-07,29,227,0.125
Tropical,2021-07,30,227,0.12931
Citrus,2021-07,24,227,0.103448
Grape,2021-07,3,227,0.012931
Apple & pear,2021-07,23,227,0.099138
Peach & stone fruit,2021-07,5,227,0.021552
Tea & botanical,2021-07,28,227,0.12069
Punch & mixed fruit,2021-07,5,227,0.021552
Watermelon,2021-08,15,235,0.063025
Coffee & cream,2021-08,38,235,0.159664
Sour & candy,2021-08,21,235,0.088235
Cola & soda,2021-08,13,235,0.054622
Berry,2021-08,30,235,0.12605
Tropical,2021-08,29,235,0.121849
Citrus,2021-08,25,235,0.105042
Grape,2021-08,3,235,0.012605
Apple & pear,2021-08,23,235,0.096639
Peach & stone fruit,2021-08,5,235,0.021008
Tea & botanical,2021-08,30,235,0.12605
Punch & mixed fruit,2021-08,6,235,0.02521
Watermelon,2021-09,14,232,0.063927
Coffee & cream,2021-09,36,232,0.164384
Sour & candy,2021-09,16,232,0.073059
Cola & soda,2021-09,12,232,0.054795
Berry,2021-09,28,232,0.127854
Tropical,2021-09,24,232,0.109589
Citrus,2021-09,23,232,0.105023
Grape,2021-09,3,232,0.013699
Apple & pear,2021-09,22,232,0.100457
Peach & stone fruit,2021-09,6,232,0.027397
Tea & botanical,2021-09,29,232,0.13242
Punch & mixed fruit,2021-09,6,232,0.027397
Watermelon,2021-10,14,236,0.063927
Coffee & cream,2021-10,34,236,0.155251
Sour & candy,2021-10,15,236,0.068493
Cola & soda,2021-10,13,236,0.059361
Berry,2021-10,27,236,0.123288
Tropical,2021-10,22,236,0.100457
Citrus,2021-10,25,236,0.114155
Grape,2021-10,3,236,0.013699
Apple & pear,2021-10,22,236,0.100457
Peach & stone fruit,2021-10,5,236,0.022831
Tea & botanical,2021-10,32,236,0.146119
Punch & mixed fruit,2021-10,7,236,0.031963
Watermelon,2021-11,13,226,0.0625
Coffee & cream,2021-11,32,226,0.153846
Sour & candy,2021-11,15,226,0.072115
Cola & soda,2021-11,10,226,0.048077
Berry,2021-11,27,226,0.129808
Tropical,2021-11,22,226,0.105769
Citrus,2021-11,23,226,0.110577
Grape,2021-11,3,226,0.014423
Apple & pear,2021-11,21,226,0.100962
Peach & stone fruit,2021-11,5,226,0.024038
Tea & botanical,2021-11,30,226,0.144231
Punch & mixed fruit,2021-11,7,226,0.033654
Watermelon,2021-12,12,223,0.060302
Coffee & cream,2021-12,30,223,0.150754
Sour & candy,2021-12,13,223,0.065327
Cola & soda,2021-12,10,223,0.050251
Berry,2021-12,26,223,0.130653
Tropical,2021-12,22,223,0.110553
Citrus,2021-12,22,223,0.110553
Grape,2021-12,3,223,0.015075
Apple & pear,2021-12,20,223,0.100503
Peach & stone fruit,2021-12,4,223,0.020101
Tea & botanical,2021-12,30,223,0.150754
Punch & mixed fruit,2021-12,7,223,0.035176
Watermelon,2022-01,12,227,0.059406
Coffee & cream,2022-01,32,227,0.158416
Sour & candy,2022-01,15,227,0.074257
Cola & soda,2022-01,10,227,0.049505
Berry,2022-01,27,227,0.133663
Tropical,2022-01,22,227,0.108911
Citrus,2022-01,25,227,0.123762
Grape,2022-01,3,227,0.014851
Apple & pear,2022-01,16,227,0.079208
Peach & stone fruit,2022-01,4,227,0.019802
Tea & botanical,2022-01,29,227,0.143564
Punch & mixed fruit,2022-01,7,227,0.034653
Watermelon,2022-02,16,234,0.073059
Coffee & cream,2022-02,34,234,0.155251
Sour & candy,2022-02,17,234,0.077626
Cola & soda,2022-02,12,234,0.054795
Berry,2022-02,31,234,0.141553
Tropical,2022-02,22,234,0.100457
Citrus,2022-02,27,234,0.123288
Grape,2022-02,2,234,0.009132
Apple & pear,2022-02,17,234,0.077626
Peach & stone fruit,2022-02,4,234,0.018265
